Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2016,2016,Export,USA,Brazil,Beer made from malt,2203,1239446
2016,2016,Export,USA,Belize,Beer made from malt,2203,397953
2016,2016,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1283582
2016,2016,Export,USA,Myanmar,Beer made from malt,2203,3494
2016,2016,Export,USA,Canada,Beer made from malt,2203,154826722
2016,2016,Export,USA,Cayman Isds,Beer made from malt,2203,1758960
2016,2016,Export,USA,Central African Rep.,Beer made from malt,2203,22395
2016,2016,Export,USA,Sri Lanka,Beer made from malt,2203,5420
2016,2016,Export,USA,Chile,Beer made from malt,2203,57728836
2016,2016,Export,USA,China,Beer made from malt,2203,9835380
